unitid,fice,pubst,pbalph,"system","sequen","status","instnm","addr","city","stabbr","zip","gentele",cnty,congdist,"countynm",affil,calsys,hloffer,procc,pr2yr,prlib,prtea,prprof,geost,oereg,obereg,"race",control,type,iclevel,sex,lgrnt,"cncesc",sum2yr,sum4yr,sumpos,eve2yr,eve4yr,evepos,excntl,citysi,admreq,estmo,estyr,"fwrkmoyr","fdgrmoyr",prtfu,pbtfui,pbtfuo,prtfg,pbtfgi,pbtfgo,roomamt,boardamt,period,stcnty,acc1,acc10,acc11,acc12,acc13,acc14,acc15,acc16,acc17,acc18,acc19,acc2,acc20,acc21,acc22,acc23,acc24,acc25,acc27,acc28,acc29,acc3,acc30,acc31,acc32,acc33,acc34,acc35,acc36,acc37,acc38,acc39,acc4,acc40,acc41,acc42,acc43,acc44,acc45,acc46,acc47,acc48,acc49,acc5,acc50,acc51,acc52,acc53,acc54,acc55,acc56,acc57,acc58,acc59,acc6,acc60,acc61,acc62,acc63,acc64,acc65,acc66,acc67,acc68,acc69,acc7,acc71,acc72,acc73,acc74,acc75,acc76,acc77,acc78,acc8,acc81,acc82,acc83,acc84,acc85,acc86,acc88,acc89,acc9,acc90,acc91,acc92,acc93,acc94,acc_apcp,acc_chem,acc_nurs,acc_ort,regaccrd
"101879","1016","10","630","","","5","UNIV OF NORTH ALABAMA","UNIVERSITY STATION","FLORENCE","AL","35632",".","","5","LAUDERDALE","12","1","7","0","0","1","1","1","10","3","5","5","1","2","1","3","0","B01","0","1","1","0","1","1","1","2","2","","","000000","000000","0","940","1340","0","1032","1432","824","1072","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","1","","","","","","","8"
"101240","1017","10","170","","","5","GADSDEN STATE JR COLLEGE","GEORGE WALLACE DRIVE","GADSDEN","AL","35903",".","","4","ETOWAH","12","2","3","1","1","0","0","0","10","3","5","5","1","3","2","3","0","E01","1","0","0","1","0","0","1","2","2","5","","090000","060000","0","460","910","0","0","0","525","870","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","8"
"101286","1018","10","180","","","5","GEO C WALLACE ST CC-DOTHN","","DOTHAN","AL","36303",".","","2","DALE","12","2","3","1","1","0","0","0","10","3","5","5","1","3","2","3","0","E01","1","1","0","1","1","0","1","1","2","1","","090000","000000","0","450","900","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","8"
"101435","1019","10","200","","","5","HUNTINGDON COLLEGE","1500 EAST FAIRVIEW","MONTGOMERY","AL","36106",".","","2","MONTGOMERY","71","1","4","0","0","1","1","0","10","3","5","5","2","2","1","3","0","C01","1","1","0","1","1","0","3","3","2","2","","020000","000000","3080","0","0","0","0","0","820","1650","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","8"
"101480","1020","10","220","","","5","JACKSONVILLE ST UNIV","NORTH TANHOM RD","JACKSONVILLE","AL","36265",".","","3","CALHOUN","12","5","7","0","0","1","1","1","10","3","5","5","1","2","1","3","0","B01","0","1","1","0","1","1","1","2","2","","","000000","000000","0","800","1050","0","850","1125","750","930","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","8"
"1097","1097","13","150","B","00","2","HARDING U ALL CAM","","SEARCY","AR","72143",".","","2","","","","8","0","0","0","0","0","13","3","5","1","2","7","7","3","","","0","0","0","0","0","0","4","","","","","000000","000000","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"181853","2567","37","300","","","5","YORK COLLEGE","","YORK","NE","68467",".","","1","YORK","21","1","3","0","1","0","0","0","37","2","4","5","2","3","2","3","0","E01","0","0","0","0","0","0","2","1","2","","","000000","000000","2600","0","0","0","0","0","700","1695","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5"
"101499","1021","10","230","","","5","JEFFERSON DAVIS STATE JC","ALCO DRIVE","BREWTON","AL","36427",".","","1","ESCAMBIA","12","2","3","1","1","0","0","0","10","3","5","5","1","3","2","3","0","E01","1","0","0","1","0","0","1","1","2","","","090000","060000","0","550","1200","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"101505","1022","10","240","","","5","JEFFERSON ST JR COLLEGE","2601 CARSON ROAD","BIRMINGHAM","AL","35215",".","","6","JEFFERSON","12","2","3","1","1","0","0","0","10","3","5","5","1","3","2","3","0","E01","1","0","0","1","0","0","1","4","1","5","","090000","060000","0","475","925","0","0","0","0","0","0","","","","","","","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","8"
"101541","1023","10","260","","","5","JUDSON COLLEGE","BIBB STREET","MARION","AL","36756",".","","7","PERRY","75","1","4","0","0","1","1","0","10","3","5","5","2","2","1","2","0","C01","0","1","0","0","0","0","3","1","2","","","000000","000000","2895","0","0","0","0","0","2620","0","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","8"
"101587","1024","10","280","","","5","LIVINGSTON UNIVERSITY","STATION TWO","LIVINGSTON","AL","35470",".","","7","SUMTER","12","2","7","0","0","1","1","1","10","3","5","5","1","2","1","3","0","B01","1","1","1","0","1","1","1","1","2","","","020000","000000","0","1020","1020","0","750","750","480","1170","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","8"
"1025","1025","10","290","","","X","LOMAX-HANNON JC","SOUTH CONECUH STREET","GREENVILLE","AL","36037",".","","2","BUTLER","24","1","3","0","1","0","0","0","10","3","5","1","2","3","2","3","0","E01","1","1","0","1","1","0","3","1","2","9","","090000","050000","1832","0","0","0","0","0","684","795","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99"
"101648","1026","10","310","","","5","MARION MILITARY INSTITUTE","","MARION","AL","36756",".","","7","PERRY","21","1","3","0","1","0","0","0","10","3","5","5","2","3","2","3","0","E01","1","1","0","0","0","0","2","1","2","","","000000","000000","4500","0","0","0","0","0","2450","0","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"101675","1028","10","320","","","5","MILES COLLEGE","P.O.BOX 3800","BIRMINGHAM","AL","35208",".","","6","JEFFERSON","55","1","4","0","0","1","1","0","10","3","5","1","2","2","1","3","0","C01","1","0","0","1","0","0","3","4","2","","","000000","000000","3000","0","0","0","0","0","650","1200","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"101693","1029","10","330","","","5","MOBILE COLLEGE","P O BOX 13220","MOBILE","AL","36613",".","","1","MOBILE","75","1","6","0","0","1","1","1","10","3","5","5","2","2","1","3","0","C01","1","1","1","1","1","1","3","3","2","","","000000","000000","3040","0","0","3360","0","0","748","1452","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","8"
"102030","1030","10","390","","","5","S. D. BISHOP ST JC","351 NORTH BROAD","MOBILE","AL","36690",".","","1","MOBILE","12","2","3","1","1","0","0","0","10","3","5","1","1","3","2","3","0","E01","1","0","0","1","0","0","1","3","2","8","","080000","050000","0","450","900","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","8"
"101897","1031","10","350","","","5","NTHEST ALA ST JR COLLEGE","HIGHWAY 35","RAINSVILLE","AL","35986",".","","4","DE KALB","12","2","3","1","1","0","0","0","10","3","5","5","1","3","2","3","0","E01","1","0","0","1","0","0","1","1","2","5","","090000","050000","0","450","900","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"101903","1032","10","360","","","5","NTHWST ALA ST JR COLLEGE","ROUTE 3 BOX 48","PHIL CAMPBELL","AL","35581",".","","4","FRANKLIN","12","2","3","1","1","0","0","0","10","3","5","5","1","3","2","3","0","E01","1","0","0","1","0","0","1","1","2","10","","090000","060000","0","450","900","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","8"
"101912","1033","10","370","","","5","OAKWOOD COLLEGE","OAKWOOD ROAD N W","HUNTSVILLE","AL","35896",".","","5","MADISON","95","2","4","1","0","1","1","0","10","3","5","1","2","2","1","3","0","C01","1","1","0","0","0","0","3","3","2","","","110000","000000","4290","0","0","0","0","0","918","1377","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","8"
"101949","1034","10","380","","","5","PATRICK HENRY STATE JC","","MONROEVILLE","AL","36460",".","","1","MONROE","12","2","3","1","1","0","0","0","10","3","5","5","1","3","2","3","0","E01","1","0","0","1","0","0","1","1","2","9","","090000","050000","0","450","900","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"102049","1036","10","400","","","5","SAMFORD UNIVERSITY","800 LAKESHORE DRIVE","BIRMINGHAM","AL","35229",".","","6","JEFFERSON","75","4","7","0","0","1","1","1","10","3","5","5","2","2","1","3","0","B01","0","1","1","1","1","1","3","4","3","","","000000","000000","3164","0","0","3168","0","0","940","1158","7","","","","","","","1","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","1","","1","","","","","","","8"
"102058","1037","10","410","","","5","SELMA UNIVERSITY","1501 LAPSLEY STREET","SELMA","AL","36701",".","","7","DALLAS","54","1","4","0","0","1","0","1","10","3","5","1","2","2","1","3","0","E01","1","1","0","1","1","0","3","1","2","","","000000","000000","1365","0","0","0","0","0","630","990","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99"
"102076","1038","10","430","","","5","SNEAD STATE JR COLLEGE","WALNUT STREET","BOAZ","AL","35957",".","","4","MARSHALL","12","2","3","1","1","0","0","0","10","3","5","5","1","3","2","3","0","E01","1","0","0","1","0","0","1","3","2","","","090000","060000","0","450","900","0","0","0","450","954","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"102261","1039","10","440","","","5","STHESTN BIBLE COLLEGE","2901 PAWNEE AVENUE","BIRMINGHAM","AL","35256",".","","6","JEFFERSON","21","1","6","0","0","1","1","1","10","3","5","5","2","2","1","3","0","D01","1","1","1","1","1","0","2","4","2","5","","090000","050000","2560","0","0","600","0","0","425","1500","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"251260","1040","10","460","","","5","STHN UNION ST JR COLLEGE","ROBERTAS ST.","WADLEY","AL","36276",".","","3","RANDOLPH","12","2","3","1","1","0","0","0","10","3","5","5","1","3","2","3","0","E01","1","0","0","1","0","0","1","1","2","6","","090000","060000","0","450","900","0","0","0","570","900","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","8"
"102234","1041","10","470","","","5","SPRING HILL COLLEGE","4000 DAUPHIN STREET","MOBILE","AL","36608",".","","1","MOBILE","30","1","6","0","0","1","1","0","10","3","5","5","2","2","1","3","0","C01","0","1","1","0","1","1","3","3","2","9","","090000","060000","5370","0","0","0","0","0","1400","1540","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"102270","1044","10","480","","","5","STILLMAN COLLEGE","P O DRAWER 1430","TUSCALOOSA","AL","35403",".","","7","TUSCALOOSA","66","1","4","0","0","1","1","0","10","3","5","1","2","2","1","3","0","C01","0","1","0","0","1","0","3","2","2","","","000000","000000","2400","0","0","0","0","0","890","1040","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"102298","1046","10","490","","","5","TALLADEGA COLLEGE","627 W BATTLE STREET","TALLADEGA","AL","35160",".","","3","TALLADEGA","21","1","4","0","0","1","1","0","10","3","5","1","2","2","1","3","0","C01","0","1","0","0","0","0","2","1","2","","","000000","000000","2969","0","0","0","0","0","990","1040","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","8"
"102368","1047","10","520","B","01","6","TROY STATE UNIV MAIN CAM","UNIVERSITY AVENUE","TROY","AL","36082",".","","2","PIKE","12","2","7","0","0","1","1","1","10","3","5","5","1","2","1","3","0","B01","1","1","1","1","1","1","1","1","3","2","","020000","060000","0","1035","1530","0","990","1260","650","1082","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","8"
"102322","1048","10","530","B","02","7","TROY ST U DOTHN-FT RUCKER","227 NORTH FOSTER STREET","DOTHAN","AL","36301",".","","2","HOUSTON","12","2","7","0","0","1","1","1","10","3","5","5","1","2","1","3","0","B01","0","1","1","0","1","1","1","1","3","9","","090000","060000","0","930","948","0","960","1020","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"102359","1049","10","540","B","03","7","TROY STATE U MONTGOMERY","231 MONTGOMERY STREET","MONTGOMERY","AL","36104",".","","2","MONTGOMERY","12","2","7","0","0","1","1","1","10","3","5","5","1","2","1","3","0","B01","1","1","1","1","1","1","1","3","3","9","","090000","060000","0","1110","1110","0","1053","1053","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","8"
"102377","1050","10","550","","","5","TUSKEGEE INSTITUTE","","TUSKEGEE INST","AL","36088",".","","3","MACON","21","1","6","0","0","1","1","1","10","3","5","1","2","2","1","3","0","B02","0","1","1","0","0","0","2","1","2","2","","090000","050000","3500","0","0","3500","0","0","1000","900","7","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","1","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","","","","1","","","","","","","","","","","1","","","","","","","8"
"100751","1051","10","590","C","02","E","THE UNIV OF ALABAMA","","UNIVERSITY","AL","35486",".","","7","TUSCALOOSA","12","1","8","0","0","1","1","1","10","3","5","5","1","1","1","3","2","A01","0","1","1","0","1","1","1","2","6","","","000000","000000","0","1206","2586","0","1206","2586","950","1260","7","","1","","","","","","1","","","","","1","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","1","","","","","","","1","","","","","","1","1","","","","","","1","","","1","","1","","","1","","","","","","","8"
"100663","1052","10","600","C","03","E","U ALABAMA AT BIRMINGHAM","UNIVERSITY STATION","BIRMINGHAM","AL","35294",".","","6","JEFFERSON","12","2","8","1","0","1","1","1","10","3","5","5","1","2","1","3","2","A02","1","1","1","1","1","1","1","4","2","9","","090000","060000","0","1476","2862","0","1570","3030","0","0","0","","1","","","","","1","","","","","1","","1","1","1","","1","","1","1","","","","1","","1","1","","1","1","1","1","","","1","","1","1","","1","1","","1","","1","","","1","1","","","","1","","","","","","","","","","","","","","","","","","1","1","","1","","","","","","","","1","","1","","","1","","","","","","","8"
"100706","1055","10","610","C","04","E","U ALABAMA IN HUNTSVILLE","","HUNTSVILLE","AL","35899",".","","5","MADISON","12","2","8","0","0","1","1","1","10","3","5","5","1","2","1","3","0","B01","0","1","1","0","1","1","1","3","2","1","","010000","060000","0","1107","2970","0","1378","2756","1095","0","0","","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","8"
"102094","1057","10","640","","","5","U OF SOUTH ALABAMA","307 UNIVERSITY BOULEVARD","MOBILE","AL","36688",".","","1","MOBILE","12","2","8","1","0","1","1","1","10","3","5","5","1","2","1","3","0","B02","0","1","1","0","1","1","1","3","3","","","000000","000000","0","1485","2085","0","1365","1965","900","1125","7","","1","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","1","","","","","","1","1","","","","","","","","","","1","","","","","","","","","","1","1","","","","","","","","","","","","","","","1","","","","","1","","","1","","1","","","1","","","","","","","8"
"102410","1058","10","650","","","5","WALKER COLLEGE","","JASPER","AL","35501",".","","4","WALKER","21","1","3","0","1","0","0","0","10","3","5","5","2","3","2","3","0","E01","1","0","0","1","0","0","2","4","2","","","000000","000000","1296","0","0","0","0","0","500","1050","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"101569","1059","10","270","","","5","LAWSON STATE CMTY COLLEGE","3060 WILSON ROAD S W","BIRMINGHAM","AL","35221",".","","6","JEFFERSON","12","2","3","1","1","0","0","0","10","3","5","1","1","3","2","3","0","E01","1","0","0","1","0","0","1","4","2","","","000000","000000","0","457","907","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"101161","1060","10","160","","","5","FAULKNER STATE JR COLLEGE","HAMMOND CIRCLE","BAY MINETTE","AL","36507",".","","1","BALDWIN","12","2","3","1","1","0","0","0","10","3","5","5","1","3","2","3","0","E01","1","0","0","1","0","0","1","3","2","6","","090000","060000","0","454","904","0","0","0","615","1050","5","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"102669","1061","11","20","","","5","ALASKA PACIFIC UNIVERSITY","4101 UNIVERSITY DRIVE","ANCHORAGE","AK","99508",".","","99","ANCHORAGE","71","1","6","0","0","1","1","1","11","4","8","5","2","2","1","3","0","D10","1","1","1","1","1","1","3","2","2","2","","100000","050000","3580","0","0","2740","0","0","1500","1825","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7"
