PID,officesHeld,head_of_org,on_committee,gov_office
LVY3-MZR,"Member, Religious Education Department, Diocese of Massachusetts, 1936-44, executive committee, Troy Council of Churches, since 1946; president, Troy Ministerial Association, 1945-46; chaplain, Troy Citizens’ Corps, Troy Police Department, New York State Fireman’s Association.",1,0,0
LRBW-G5L,"Director, Allegheny Corporation, Glassine Paper Company, Russell Company, Sutton’s Mills, Westfield River Paper Company, Inc., Johnson Automatics, Inc., Latisteel, Inc., Fort Trumbull Paper Corporation, Harvard Fund Council, Massachusetts United Service Organization, Boys’ and Girls’ Camp; trustee, Eaton and Howard Balanced Fund, Newton Center Savings Bank, Sussex Trust, Episcopal Theological School, Cambridge, Massachusetts, Wheelock College, Boston; director, treasurer, member Executive Committee of Family Society of Greater Boston; president, director, member Executive Committee of Family Service Association of America; clerk, Greater Boston Community Council; chairman, Metropolitan Division of Greater Boston United War Fund Drive, 1942; Vestryman, Trinity Church, Newton Center, member, Diocesan Council, Diocese of Massachusetts.",1,1,0
GSCB-S6D,"Treasurer, Lawrence Manufacturing Company, Lowell, Mass., since 1938, Riggs & Lombard, Inc., Lowell, Mass., since 1932; president, Zephyr Textiles, Ltd., Ormstown, Quebec, since 1940, Textiles Industries, Ltd., Guelph, Ontario, since 1945, Jerguson Gage and Valve { 826 ]",1,0,0
99MN-VVX,"Treasurer, Howard Realty Company, since 1928, Somerset Realty Company, since 1928, Winslow Realty Company, since 1928, St. Martin’s Episcopal Church, since 1941; director, Phenix National Bank of Providence, since 1936, Title Guarantee Company of R. I, since 1948, Providence Athenaeum, since 1946, Providence Y.M.C.A., 1936-40; trustee, Peoples Savings Bank in Providence, since 1941, St. Phillip’s Church, Mattapoisett, Mass., since 1947; general trustee, Episcopal Diocese of R. I, since 1948; president, R. I. Squash Racquets Association, 1934-36, New England Division Associated Harvard Clubs, since 1948; R. I. delegate, New England Lawn Tennis Association, since 1947; corporation member, Providence Lying-In-Hospital, Home for Aged Couples, St. Elizabeth’s Home.",1,1,0
L2YF-T1L,"Registrar and assistant to superintendent, New York Military Academy, June, 1939, to April, 1942; associate professor, United States Military Academy, since 1946.",0,0,0
L8S8-4NW,"President, Board of Aldermen, Beverly, 1936, 1937; associate county commissioner of Essex County, 1936-38, state. senator, Massachusetts Second Essex District, 1939-40; secretary, Massachusetts Committee on Public Safety, 1940-41; former president, North Shore Babies Hospital, trustee, since 1933, president, since 1946, Wells Memorial Association; vestryman, since 1935, treasurer, since 1946, St. John’s Church, Beverly Farms, trustee and clerk, St. Mark’s School, since 1946; board member, Church Home Society, since 1946.",1,1,1
27XN-P95,"Alternate delegate, Republican National Convention, 1928 and 1932; director, Allied Stores Corporation, since 1948, Blackstone Valley Gas and Electric Company, since 1941, Joseph Burnett Company, since 1935, Webster an Atlas National Bank of Boston, since 1945; trustee, Army and Navy Service Committee, Inc., since 1931, New England Home of Deaf Mutes, since 1930, Peter Bent Brigham Hospital, since 1932, South End House Association, since 1930, Vincent Memorial Hospital, since 1935; secretary, Peter Bent Bringham Hospital, since 1946, Vincent Memorial Hospital, since 1938; member executive committee, Winsor School, since 1948",1,1,0
LZ5W-RTM,"Director, Vocational Advisory Service for Juniors of New York, Morosini Boys Club of New York, Electric Bond and Share Company, 1938-39.",1,0,0
GSC5-PL3,"City Solicitor, 1936-37; director or officer: Leominster Recreation Center, Community Chest, Chamber of Commerce, Rotary Club, Salvation Army, Fitchburg Art Center, Leominster Hospital, Leominster Savings Bank, Leominster Federal Savings and Loan Associa tion.",1,0,0
L2CY-Q4K,"Visiting assistant professor of commerce, University of Southern California, summer of 1948.",0,0,0
LHR6-C3R,"Assistant and tutor, Harvard, 1924-275 lecturer, Bryn Mawr, 1929-30; assistant professor, 1930-34, associate professor, 1934-38, professor, since 1938, Amherst; assistant director, 1935-36, director, 193638, vice-chairman of managing committee, since 1948, American School of Classical Studies at Athens; trustee, American Farm School, Salonica, since 1938.",1,1,0
L2ZY-NFC,"Director, First National Bank, Richmond, Ind., director, Indiana Manufacturers’ Association.",1,0,0
L2GJ-NFV,"Instructor in medicine, University of Rochester Medical School, 1930-31; assistant in medicine, Columbia University College of Physicians and Surgeons, 1930-43; assistant physician, Vanderbilt Clinic, 1930-43; director of medical service, since 1946, secretary of Medical Board, since 1935, attending physician, since 1937, Stamford Hospital; attending physician, St. Joseph’s Hospital, Stamford, since 1942; trustee, Community Chest, since 1949; director, Stamford Boys’ Club, since 1940, Family Welfare Society, 1938-43; member, Committee on Ethics and Deportment, Fairfield County Medical Society, Advisory Board ?f the Family and Children’s Center, Girls’ Club, and V.N.A.",1,1,0
KVVM-KKJ,"Salesman, 1926-38, district manager, 1938-43, Boston Edison Company; director, Rotary Club of Brookline, 1942-43; member, Town Meeting, since 1944, Advisory Committee, 1945-47, Town of Brookline; member of Prudential Committee, 1945-47, deacon, 1938-44, Harvard Church, Brookline.",1,1,0
KN6Y-1FZ,"Legal assistant, St. Lawrence Power Development Commission (appointed by Governor Franklin D. Roosevelt), 1930; general counsel, National Democratic Committee, 1932~37; counsel to Governor 688 ]",1,0,0
GSCT-G9S,"Junior vice-commander, Loyal Legion, 1948.",0,0,0
GSC2-BSB,"President, Grasselli Athletic Association, 1940; trustee, 194042, vice-president, Board of Trustees, 1943~45, Presbyterian Church.",1,1,0
L461-3NG,"President, New England Conservatory of Music Chapter, American Association of University Professors, 1947.",1,0,0
MHTL-XT6,"Assistant to the chairman, Republican National Committee, 1936; vice-chairman, Eastern Division, Republican National Committee",0,0,0
GM5H-PGM,"Vice-president and director, 1947-48, president and director, 1944-49, Harvard Business Club of Southern California, secretary and director, Harvard Club of Southern California, 1947-48; member board 410 ] of control, Exchange Club of Los Angeles, 1948; vice-president, Harvard Business School Club, Toledo, 1944.",1,0,0
GSCM-5CD,"London representative, 1930-35, manager training department, 1936-38, First Boston Corporation, assistant vice-president, First National Bank of Boston, since 1938.",1,0,0
LV2R-2V7,"Member, Zoning Board of Appeals, Meriden, 1930-31, Board of Police Commissioners, Hartford, 1935-37, Metropolitan District Commission, Hartford, 1940-47, Board of Park Commissioners, Hartford, 1943-47, Charter Revision Commission, Hartford, 1945-46, Judicial Council, State of Connecticut, since 1947, director, Hartford Public",1,1,0
GSCT-RJB,"National president, Sons of Columbus of America, since 1940.",1,0,0
GSCK-1WZ,"Secretary of associated members, Down Town Glee Club, 1926-31; treasurer, Planned Parenthood Federation of America, 1944-45; assistant treasurer, Transcontinental & Western Air, Inc., 1945-45.",0,0,0
L6PV-VCD,"Director, 1944, member of industrial relations committee, 1945, Associated Industries of Maine.",1,0,0
GSCK-QBY,"Obstetrician, Boston Lying-in Hospital; assistant visiting gynecologist, Beth Israel Hospital, Boston; assistant in obstetrics, Massachusetts General Hospital, Boston; Harvard Medical School.",0,0,0
LBW1-VSG,"Member, executive committee, American Schoolboy Rowing Association.",0,1,0
GSCT-6F1,"Member, Board of Registration of Certified Public Accountants, Massachusetts, since 1947; treasurer, Central Credit Union Fund of Massachusetts, 1940-48, Hecht Neighborhood House, since 1946; delegate, Republican National Convention, 1948; district deputy grand chancellor, Knights of Pythias, 1939.",0,0,0
LKGH-RR6,"Director of Medicine, Norwalk General Hospital.",1,0,0
GSCY-JJB,"Chief consultant in clinical psychology, Veterans’ Administration, Branch No. 7, since 1946; consultant in clinical psychology, Group for the Advancement of Psychiatry, since 1947; expert consultant in psychology to Surgeon-General, Department of the Army, since 1948, member, National Advisory Sub-committee on Psychology, Veterans’ Administration, since 1946, board of directors, Worcester _ Child Guidance Clinic, 1928-46, council, American Psychopathological . Association, since 1948, member of council and president of Division of Clinical and Abnormal Psychology, American Psychological Association, 1947-48; trustee, American Board of Examiners in Professional Psychology, 1947-51.",1,1,0
KKQ9-W4C,"Instructor, Suffield School, Suffield, Conn. rgsger¢; instructor in economics, University of Vermont, 1925-26; assistant, instructor, and tutor in economics, Harvard, 1926-31; travelling fellow of Social Soence 879 ]",0,0,0
GSCT-7HT,"Assistant secretary, Boston Casualty Company, 1925-393 secretary, Amger Company, New York, since 1947, Potter, Mairs & Company, Washington, since 1949; associate, Trimble, Olson & Company, Washington, since 1949.",0,0,0
LY9M-ZL9,"Treasurer, local chapter, United World Federalists, since 1948; trustee, Chatham Fish & Game Protective Association, 1940-43; Professional Engineer, New York State.",0,1,0
KH5K-6HB,"Instructor in English, Taft Junior College; head of English Department, Taft Union High School and Junior College, since 1927.",1,0,0
L461-4SP,"Secretary, Rotary Club of the Pelhams, N. Y.",0,0,0
GSCT-C7L,"Assistant secretary, Boston Casualty Company, 1925-39; secretary, Amger Company, new York, since 1947, Potter, Mairs & Company, Washington, since 1949; associate, Trimble, olson & Company, Washington, since 1949.",0,0,0
LVJY-D7H,"Advanced fellow, Graduate College, Princeton University, 1928-29; lecturer in French, University of Wisconsin, 1929-32; instructor in French, since 1932, member, Committee on Counselling, Committee on Aims and Practices, Scholarship Committee, Library Committee, Schedule Committee, Commencement Committee, coach of class football and baseball, director of touch football, Phillips Exeter Academy.",1,0,0
GSCY-PPP,"Partner, Hallgarten & Company, since 1932; director, Thomp-son-Starrett Company, 1932-34, Waldorf-Astoria, 1932-43, Atlantic Gulf Petroleum Company, since 1943, United States Leather Company, since 1937, Stahl-Meyer, Inc., since 1938, Columbia Pictures Corporation, since 1944, National Travelers’ Aid Society, since 1947, New York Gty Defense Recreation Committee, 1941-48; president, Shelter Rock Foundation, Inc., since 1943, Travelers’ Aid Society of New York, 1940-47; member of advisory board, Girl Scout Council, Greater New York.",1,1,0
LT93-C8Y,"Chief deputy commissioner, acting commissioner, New Jersey State Department Alcoholic Beverage Control.",0,0,0
GSCT-99J,"Trustee, Central Baptist Church, Quincy, 1939-46.",0,1,0
L45P-LZM,"Assistant dean, 1926-37, 1942-48, director of placement and director of alumni relations, 1927-37, 1942-46, Harvard Business School, chief, executive selection department, McKinsey & Company, New York, N. Y., 1941-42; executive assistant, United Nations, 1946-48; executive assistant and chairman, National Security Resources Board, January to October, 1948.",1,0,0
LRJQ-7V2,"Head of English Department, University of Tampa, Tampa, Fla., 1933-36, 1937-40; dean, Kalamazoo College, Kalamazoo, Mich., 1942-46; president, Babson Institute of Business Administration, since 1946.",1,0,0
LHB2-65Z,"Director and member, Executive Committee, Washington Community Chest; chairman, Special Gifts Unit, Community Chest Federation, National Capital Area, two years; director, Naval League of United States; president, Potomac River Naval Command Region and District of Columbia Council, Navy League of United Srates.",1,1,0
G96R-V5B,"Instructor in English, 1925-35, instructor in English and psychology, 1932-35, Carnegie Institute of Technology.",0,0,0
GSCT-93X,"President, Hartford Upholstered Furniture Manufacturers Association, 1930-33.",1,0,0
GSCT-4SL,"Member, executive committee, board of trustees, Winthrop Community Hospital, 1930-48.",0,1,0
LY7Y-TKL,"President, Harvard Club of Worcester, 1935-37.",1,0,0
LKG3-2KV,"President, Technical Advertising Association, 1936-37; chairman, Foxboro Sea Scout Town Committee, 1939-42, Foxboro Advisory Committee, 1944-46.",1,0,0
L87J-TBK,"Treasurer and trustee, Phelps Stokes Fund, since 1936; director, North American Reassurance Company, since 1939, North Amencan Casualty and Surety Reinsurance, since 1943, North American Fire and Marine Reinsurance, since 1943, City and Suburban Homes Company, since 1938; trustee, Community Service Society, since 1939, Children’s Aid Society, since 1945; treasurer, Union Free School, District 7, Bedford, N. Y., since 1946.",1,1,0
LQY9-F3B,"Instructor in medicine, University of Chicago, 1930-33, Rush Medical College, 1933-37; assistant editor, Journal of the American Medical Association, 1937-47; director of education, Cleveland Clinic and Frank E. Bunts Educational Institute, since 1948.",1,0,0
LY82-RP4,"Assistant trade commissioner, Department of Commerce, 1937-39; vice-consul of career and secretary, Diplomatic Service, Ameri- ‘ can Foreign Service, posts in Manila, Philippine Islands, and Batavia, Netherlands East Indies, 1939-42; analyst, Foreign Broadcast Intelligence Service, Federal Communications Commission, 1943-44.",0,0,0
GSCT-99H,"Director, 1947-48, member Scholarship Committee, 1946-48, Harvard Club of Long Island. MeéMape or: Harvard Club of Long Island; American Management AssoClation,",1,0,0
GSCT-BK1,"President, Blue Ribbon Books, Inc., 1934-39, Reynal & Hitchcock, since 1945; chairman of board, Reynal & Hitchcock, Inc., since 1934; vice-president, Harcourt, Brace & Company, Inc., since 1948; trustee, Community Service Society; director, Book Publishers’ Bureau, 1936-42, United States International Book Association, 1946~49.",1,1,0
LTLP-F9F,"Member, 1931-41, chairman, 1933-41, Winthrop, Mass., School Committee.",1,0,0
LFYQ-N8W,"Secretary, Baltimore Chapter A.1.A., 1933-36; director, Citizens’ Planning and Housing Association, secretary, Harvard Club of Maryland, 1933-36; chairman, Baltimore Chapter of Committee to Defend America; vice-president, Building Congress, president, Municipal Art Society; trustee, Baltimore Museum of Art, Roland Park Country School.",1,1,0
L77R-H9J,"Vice-president, Eastern Racing Association, Inc. (Suffolk Downs), 1948-49.",1,0,0
LTXY-H64,"Member, Cardinal’s Committee, New York Catholic Charities; governor, New York Hospital; director, Panhandle Producingand Refining Company, White Eagle Oil Company, Interstate Petroleum Corporation.",1,1,0
LB14-GR4,"Vice-president and director, 1935-45, treasurer, 1943-45, Star  Brass Manufacturing Company; assistant director, Massachusetts Eye and Ear Infirmary, since 1945.",1,0,0
GSCT-MD7,"President, Charles River Country Club, 1947-48; trustee, Keystone Charitable Foundation, Boston.",1,1,0
KHM2-V4N,"Chairman, publicity, 1942-43, Cambridge district, 1944, Greater Boston United War Fund; chairman of publicity, Greater Boston Community Council, 1943-44, Massachusetts Division, National War Fund, 1945-46; member, corporation, Mt. Auburn Hospital, since 1943, executive board, Cambridge Council of Boy Scouts, since 1941; president, Cambridge Community Council, 1944-46, director, 1944-45, secretary, 1948-49, Cambridge Community Federation, director, Cambridge Chapter, American Red Cross, 1946-48, Cambridge Center for Adult Education, since 1943, Prospect Union Association, since 1947; governor and vice-chairman, New England Council of the American Advertising Agencies, 1948-49; trustee, Middlesex School, since 1943; corporator, Charlestown Five Cent Savings Bank, since 1943.",1,1,0
GSCY-NLF,"Visiting artist, Colby College, 1948.",0,0,0
L12W-3K3,"Massachusetts State Auditor, two terms, Massachusetts State Treasurer, one term, member, Massachusetts Board of Tax Appeals; chairman, New Bedford, Woods Hole, Martha’s Vineyard, and Nantucket Steamship Authority.",1,1,0
LT9Y-6G1,"Trustee, Faulkner Hospital, Jamaica Plain, Mass., Free Hospital for Women, Brookline, Mass.",0,1,0
LRCP-XBG,"Trustee, chairman of education, head of religious school, com-mittee member, Temple Israel, Boston; member, board and several committees, Associated Synagogues, Boston; delegate and member of several committees, Union of American Hebrew Congregations; director Bureau of Jewish Education, Boston; director of many corporations; trustee of several charitable foundations.",1,1,0
KC3M-XCD,"Instructor, University of Chicago, 1924-26, 1927-28; instructor and tutor, Harvard, 1929-34; editor, New England Quarterly, 1929-36; lecturer, University of California, since 1946.",0,0,0
LBL7-H95,"Director, F. A. O. Schwarz, since 1925, First National Bank of the City of New York, since 1945, General Mills, Inc., since 1948; trustee, since 1935, vice-chairman of board, since 1944, Community Service Society (or predecessor A.I-C.P.); trustee, Union Theological Seminary, since 1938, Presbyterian Hospital in the City of New York, since 1945, Young Women’s Christian Association of the City of New York, since 1941; Member, Overseers Committee to Visit the Harvard Law School, since 1943.",1,1,0
LYD5-RLM,"Member of executive committee, Boston section, American Institute of Electrical Engineering, 1948-49, New England section, Har vard Engineering Society, 1948-49, New England editor, Harvar d Engineering Society Bulletin, 1947~49.",0,1,0
GMYH-PMK,"Treasurer, Darien Citizens Union, 1943-47.",0,0,0
KLDN-HGH,"Member, board of managers, Seamen’s Church Institute of New York, admissions committee, Downtown Harvard Lunch Club, New York; chairman, library committee, Harvard Club of New York.",1,1,0
GSCY-JDH,"Assistant editor, Vanity Fair, 1924-26; associate editor, Time magazine,1929-40; editor,  Interiors magazine, Since 1941.",0,0,0
GSCB-D4P,"Vice-president, Chelsea Rotary Club, 1937; vice-chairman, Brockton Chapter, American Red Cross, 1947-48; director, Brockton Rotary Club, 1948.",1,0,0
K4DP-MJL,"Junior vice-commander, Loyal Legion, 1948.",0,0,0
GMSP-2D4,"Past director and secretary, George B. Carpenter & Company, Chicago, Carpenter Realty Company, Chicago, National Coffer Paint Corporation, Chicago; past assistant treasurer and vice-president, First Factoring Corporation of Chicago; past director and secretary-treasurer, Duck Slough Hunting Club of Beardstown, Ill; director, president, and treasurer, Medill Welding and Engineering Company, Chicago, director and treasurer, Shakespeare Building Corporation, Chicago.",1,0,0
L7Z5-5CG,"Founder and chairman of board of governors, The Middle Fast Institute, since 1946; director, Cuban American Sugar Company, and Guantanamo Sugar Company, since 1925; president Symphony Orchestra of Central Florida, since 1940; treasurer, Hispanic Institute in Florida, 1941-45; secretary, Diplomatic Affairs Foundation, 1946-48.",1,1,0
GSCG-1C7,"President, Rumson Republican Club, Rumson, New Jersey, 1938-40; councilman, Borough of Rumson, 1940-42; vice-president, Willkie for President Clubs of New Jersey, 1940; director, F. W. Stillman & Company, since 1938, Francis C. Carr & Company, Inc., since 1937.",1,0,0
LT5Y-BRH,"Director, Nevada-Massachusetts Company, Chandler & Farquhar Company, Inc., Chelsea Clock Company, Wiggin Terminals, Inc.; president, Harvard Business School Club of Boston, 1947.",1,0,0
GSCT-SLS,"City solicitor, Haverhill, 1933-35; president, Haverhill Kiwanis _ Club, 1937-38; vice-president, Haverhill Boys’ Club, 1940-48; president, B’nai Brith Lodge; chancellor commander, Isidore Strauss Lodge, Knights of Pythias. .",1,0,0
L28F-4FX,"Chairman, Social Science Honors Committee, The City College of New York, Radburn Community Forum, Fair Lawn, N. J.; associate professor of psychology, The City College of New York, since 1930; lecturer in psychology, Barnard College, 1929-30; instructor in physics and mathematics, The Loomis School, 1924-26.",1,0,0
L7CP-ZN9,"Town meeting member, Town of Lexington, Massachusetts; trustee, Symmes Arlington Hospital; director, Lexington Community Chest; past president, Old Belfry Club.",1,1,0
L5NH-9ZG,"President, Pasadena Dispensary, 1935, Ewing Cancer Society, 1945, Los Angeles Cancer Society, 1944~46,; member, California Cancer Commission, director, California Division of American Cancer Society.",1,0,0
LH6K-T1L,"Board of directors, New England Paint, Varnish, and Lacquer Association, 1945-47.",0,1,0
9MGL-DQP,"Trustee, Fisk University, since 1937, Bishop Rhinelander Memorial, 1934-47; trustee and member of Executive Committee, New England Conservatory of Music, since 1940; vice-president, 1945-47, president, 1947-49, Harvard Musical Association; chairman, Music Committee, Graduate Record Examination, since 1946; member, Executive Committee, Music Teachers National Association, since 1948; vicepresident, Music Library Association, 1935-36; member, Advisory Board, Longy School of Music, 1930-36; assistant director, Concord School of Music, 1929-38, Berkshire Music Center, 1940; official visitor, Episcopal Theological School, 1939-42; overseer, Boys’ Clubs of Boston, since 1948, conductor, Bach Cantata Club, 1928-33, Pierian Sodality Orchestra, 1928-32.",1,1,0
LL36-CZN,"Director, Emanuel Brotherhood; secretary, United Factors Corporation.",1,0,0
GSCT-DGS,"Assistant professor of petroleum engineering, 1937-39, associate professor of petroleum engineering, 1939-43, Missouri School of Mines.",0,0,0
L8RP-89F,"President, Auburn Rotary Club, 1943-44; president, 1942-44, director, 1941-48, Placer County Farm Bureau; secretary, Tri-County Marketing Association, 1945-48.",1,0,0
9HRF-HD9,"Secretary-treasurer, Montana Thoroughbred Breeders and Racing Association, Inc. since 1947 (director, since 1948); vicepresident and director, Montana Saddle Clubs Association, Inc.",1,0,0
GSCT-BQ6,"Trustee, Eastern Utilities Associates; director, Brockton Edison Company; treasurer, Dexter School; director, Family Society of Greater Boston; vice-president, Bishop Rhinelander Foundation for College Work, Inc.",1,1,0
LYHR-RX3,"Master, Washington Lodge, AF. & AM., 1942-43.",0,0,0
MWXP-T66,"Member, New York State legislature, 1928-36; village mayor, 1938-47; Justice of the Peace, Town of Smithtown; director, Bank of Smithtown, Mallard Products, Inc.",1,0,1
GSC1-N69,"Assistant meter engineer, 1935-40, engineer in the office of the meter and wiring engineer, 1940-47, meter engineer, 1947, Public Service Electric & Gas Company; member, Board of Governors, 194142, secretary, 1943-47, member of Council, 1948, Harvard Engineering Society; chairman, Membership Committee of the New Jersey Activities Committee, American Institute of Electrical Engineers, 1943-45.",1,1,0
GSCT-Y4F,"Deacon, Central Presbyterian Church, Montclair, N. J.; secretary-treasurer, Men’s Club of Central Presbyterian Church.",0,0,0
LZP6-NWM,"Affiliated with Newton-Wellesley Hospital, Waltham Elospital, Brooks Hospital in Brookline; Director of Massachusetts Academy of General Practitioners; President, New England Collie Club, 1945-48.",1,0,0
GSCR-JQM,"Cardiologist and associate chief of medicine, Herrick Memorial Hospital, Berkeley, Calif.; clinical instructor in medicine, Stanford University Medical School, member visiting staff in medicine, Alameda County Hospital.",0,0,0
