unitid,fice,pubst,pbalph,"system","status","instnm","addr","stabbr","zip","gentele","cnty","congdist","city","countynm","affil","calsys","hloffer",pr2yr,prlib,prtea,prprof,enrolmnt,geost,oereg,obereg,"race",control,type,sex,lgrnt,survey,ss_occup,sum2yr,sum4yr,sumpos,ss_other,es_occup,eve2yr,eve4yr,evepos,es_other,excntl,citysi,admreq,"estmoyr","fwrkmoyr","fdgrmoyr",prtfu,pbtfui,pbtfuo,prtfg,pbtfgi,pbtfgo,roomamt,boardamt,acc1,acc10,acc11,acc12,acc13,acc14,acc15,acc16,acc17,acc18,acc19,acc2,acc20,acc21,acc22,acc23,acc24,acc25,acc27,acc28,acc29,acc3,acc30,acc31,acc32,acc33,acc34,acc35,acc36,acc37,acc38,acc39,acc4,acc40,acc41,acc42,acc43,acc44,acc45,acc46,acc47,acc48,acc49,acc5,acc50,acc51,acc52,acc53,acc54,acc55,acc56,acc57,acc58,acc59,acc6,acc60,acc61,acc62,acc63,acc64,acc65,acc66,acc67,acc68,acc69,acc7,acc71,acc72,acc73,acc74,acc75,acc76,acc77,acc78,acc8,acc81,acc82,acc83,acc84,acc85,acc86,acc88,acc89,acc9,acc90,acc91,acc92,acc93,acc94,acc_apcp,acc_nurs,acc_ort,acc_chem,regaccrd
"101480","1020","10","220","","5","JACKSONVL ST UNIVERSITY","","AL","36265","2054359820","015","","JACKSONVILLE","CALHOUN","12","5","07","0","1","1","1","6007146","10","3","5","5","1","2","3","0","1","0","0","1","0","0","0","0","1","0","0","1","2","2","1883","1883","1885","","600","600","","650","650","400","835","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","8"
"101499","1021","10","230","","5","JEFFERSON DAVIS STATE JC","","AL","36427","2058674832","053","","BREWTON","ESCAMBIA","12","2","03","1","0","0","0","3000843","10","3","5","5","1","3","3","0","1","0","1","0","0","0","0","1","0","0","0","1","1","2","1965","091965","061967","","300","600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"101505","1022","10","240","","5","JEFFERSON ST JR COLLEGE","2601 CARSON ROAD","AL","35215","2058531200","073","","BIRMINGHAM","JEFFERSON","12","2","03","1","0","0","0","6006324","10","3","5","5","1","3","3","0","1","0","1","0","0","0","0","1","0","0","0","1","4","2","051963","091965","061967","","300","600","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","8"
"101541","1023","10","260","","5","JUDSON COLLEGE","","AL","36756","2056836161","105","","MARION","PERRY","75","1","04","0","1","1","0","2000346","10","3","5","5","2","2","2","0","1","0","0","1","0","0","0","0","0","0","0","3","1","2","1838","1839","1841","1940","","","","","","734","801","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","8"
"101587","1024","10","280","","5","LIVINGSTON UNIVERSITY","STATION TWO","AL","35470","2056529661","119","","LIVINGSTON","SUMTER","12","2","07","0","1","1","1","4001194","10","3","5","5","1","2","3","0","1","0","1","1","1","0","0","0","1","1","0","1","1","2","1835","021883","1885","","735","735","","900","900","390","795","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","8"
"1025","1025","10","290","","5","LOMAX-HANNON JC","SOUTH CONECUH STREET","AL","36037","2053828716","013","","GREENVILLE","BUTLER","24","2","03","1","0","0","0","1000125","10","3","5","1","2","3","3","0","1","0","1","1","0","0","0","1","1","0","0","3","1","2","091893","091915","051917","1100","","","","","","750","750","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99"
"101648","1026","10","310","","5","MARION MILITARY INSTITUTE","","AL","36756","2056836174","105","","MARION","PERRY","21","1","03","1","0","0","0","2000241","10","3","5","5","2","3","1","0","1","0","1","0","0","0","0","0","0","0","0","2","1","2","1842","1842","1846","2525","","","","","","460","1035","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"101675","1028","10","320","","5","MILES COLLEGE","","AL","35208","2059232771","073","","BIRMINGHAM","JEFFERSON","55","1","04","0","1","1","0","4001059","10","3","5","1","2","2","3","0","1","0","1","0","0","0","0","1","0","0","0","3","4","2","1905","1907","1911","1708","","","","","","530","920","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"101693","1029","10","330","","5","MOBILE COLLEGE","P O BOX 13220","AL","36613","2056755990","097","","MOBILE","MOBILE","75","1","04","0","1","1","1","4001057","10","3","5","5","2","2","3","0","1","0","1","1","0","0","0","0","0","0","0","3","3","2","1961","1963","1967","1600","","","","","","550","950","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","8"
"102030","1030","10","380","","5","S D BISHOP ST JR COLLEGE","351 NORTH BROAD","AL","36690","2056906417","097","","MOBILE","MOBILE","12","2","03","1","0","0","0","4001605","10","3","5","1","1","3","3","0","1","0","1","0","0","0","0","1","0","0","0","1","3","2","081965","081965","051966","","300","600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","8"
"101897","1031","10","340","","5","NTHEST ALA ST JR COLLEGE","HIGHWAY 35","AL","35986","2052286001","071","","RAINSVILLE","DE KALB","12","2","03","1","0","0","0","4001057","10","3","5","5","1","3","3","0","1","0","1","0","0","0","0","1","0","0","0","1","1","2","051963","091965","051967","","400","700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"101903","1032","10","350","","5","NTHWST ALA ST JR COLLEGE","","AL","35581","2059935331","059","","PHIL CAMPBELL","FRANKLIN","12","2","03","1","0","0","0","3000914","10","3","5","5","1","3","3","0","1","0","1","0","0","0","0","1","0","0","0","1","1","2","101961","091963","061965","","300","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","8"
"101912","1033","10","360","","5","OAKWOOD COLLEGE","","AL","35806","2058371630","089","","HUNTSVILLE","MADISON","95","2","04","0","1","1","0","4001222","10","3","5","1","2","2","3","0","1","0","1","1","0","0","0","0","0","0","0","3","3","2","1896","111917","1943","2950","","","","","","600","975","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"101949","1034","10","370","","5","PATRICK HENRY STATE JC","","AL","36460","2055753156","099","","MONROEVILLE","MONROE","12","2","03","1","0","0","0","3000672","10","3","5","5","1","3","3","0","1","0","0","0","0","0","0","0","0","0","0","1","1","2","091965","091965","051967","","300","600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"102049","1036","10","390","","5","SAMFORD UNIVERSITY","800 LAKESHORE DRIVE","AL","35209","2058702011","073","","BIRMINGHAM","JEFFERSON","75","4","07","0","1","1","1","5003936","10","3","5","5","2","2","3","0","1","0","1","1","1","0","0","0","1","1","0","3","4","2","1841","1842","1848","2500","","","2000","","","750","750","","","","","","1","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","1","","1","","","","","","","8"
"102058","1037","10","400","","5","SELMA UNIVERSITY","1501 LAPSLEY STREET","AL","36701","2058722533","047","","SELMA","DALLAS","54","1","04","0","1","0","1","2000317","10","3","5","1","2","2","3","0","1","0","1","1","0","0","0","1","1","0","0","3","1","2","1878","1884","1888","1501","","","","","","630","990","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99"
"102076","1038","10","410","","5","SNEAD STATE JR COLLEGE","WALNUT STREET","AL","35957","2055935120","095","","BOAZ","MARSHALL","12","2","03","1","0","0","0","3000967","10","3","5","5","1","3","3","0","1","0","1","0","0","0","0","1","0","0","0","1","3","2","1898","091935","061937","","300","600","","","","300","810","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"102261","1039","10","420","","5","STHESTN BIBLE COLLEGE","2901 PAWNEE AVENUE","AL","35205","2052512311","073","","BIRMINGHAM","JEFFERSON","21","1","06","0","1","1","1","2000244","10","3","5","5","2","2","3","0","1","0","0","1","1","0","0","0","1","0","0","2","4","2","051935","091940","051948","2200","","","1600","","","370","1350","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"251260","1040","10","450","","5","STHN UNION ST JR COLLEGE","","AL","36276","2053952211","111","","WADLEY","RANDOLPH","12","2","03","1","0","0","0","4001540","10","3","5","5","1","3","3","0","1","0","1","0","0","0","0","1","0","0","0","1","1","2","061922","091923","061925","","300","600","","","","375","756","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"102234","1041","10","470","","5","SPRING HILL COLLEGE","4307 OLD SHELL ROAD","AL","36608","2054602121","097","","MOBILE","MOBILE","30","1","04","0","1","1","0","3000900","10","3","5","5","2","2","3","0","1","0","0","1","0","0","0","0","0","0","0","3","3","2","091830","091830","061831","3300","","","","","","950","1100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"102270","1044","10","480","","5","STILLMAN COLLEGE","P O DRAWER 1430","AL","35403","2057522548","125","","TUSCALOOSA","TUSCALOOSA","72","1","04","0","1","1","0","3000633","10","3","5","1","2","2","3","0","1","0","0","1","0","0","0","0","1","0","0","3","2","2","1876","1876","1878","1550","","","","","","813","1012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"102298","1046","10","490","","5","TALLADEGA COLLEGE","627 W BATTLE STREET","AL","35160","2053620206","121","","TALLADEGA","TALLADEGA","21","1","04","0","1","1","0","3000712","10","3","5","1","2","2","3","0","1","0","0","1","0","0","0","0","0","0","0","2","1","2","1867","1890","1895","1963","","","","","","739","770","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","8"
"102368","1047","10","520","B","6","TROY STATE U MAIN CAMPUS","","AL","36081","2055663000","109","","TROY","PIKE","12","2","07","0","1","1","1","6006493","10","3","5","5","1","2","3","0","1","0","1","1","1","0","0","1","1","1","0","1","1","3","021887","021887","061891","","690","990","","840","840","495","786","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","1","","","","","","","8"
"102322","1048","10","530","B","7","TROY ST U DOTHN-FT RUCKER","227 NORTH FOSTER STREET","AL","36301","2057931445","069","","DOTHAN","HOUSTON","12","2","07","0","1","1","1","4001584","10","3","5","5","1","2","3","0","1","0","1","1","1","0","0","1","1","1","0","1","1","3","091965","091965","061967","","810","810","","936","936","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"102359","1049","10","540","B","7","TROY STATE U MONTGOMERY","231 MONTGOMERY STREET","AL","36104","2058341400","101","","MONTGOMERY","MONTGOMERY","12","2","07","0","1","1","1","5002606","10","3","5","5","1","2","3","0","1","0","1","1","1","0","0","1","1","1","0","1","2","3","091966","091966","061968","","855","855","","936","936","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","8"
"102377","1050","10","550","","5","TUSKEGEE INSTITUTE","","AL","36088","2057278011","087","","TUSKEGEE INSTITUTE","MACON","21","1","06","0","1","1","1","5003435","10","3","5","1","2","2","3","0","1","0","0","1","1","0","0","0","0","0","0","2","1","2","021881","091923","051925","2200","","","2200","","","930","720","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","1","","","","","","","8"
"100751","1051","10","580","C","E","UNIVERSITY OF ALABAMA","","AL","35486","2053486010","125","","UNIVERSITY","TUSCALOOSA","12","1","08","0","1","1","1","7017606","10","3","5","5","1","1","3","2","1","0","0","1","1","0","0","0","1","1","0","1","2","6","1831","1831","1832","","765","1629","","765","1629","640","679","1","","","","","","1","","","","","1","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","1","","","","","","","1","","","","","","1","1","","","","","","1","","","1","","1","","","1","","","","","","","8"
"100663","1052","10","590","C","E","ALABAMA IN BIRMINGHAM,U","UNIVERSITY STATION","AL","35294","2059344011","073","","BIRMINGHAM","JEFFERSON","12","2","08","0","1","1","1","7013621","10","3","5","5","1","2","3","2","1","0","1","1","1","0","0","1","1","1","0","1","4","2","091966","091966","061970","","795","1551","","849","1689","","","1","","","","","1","","","","","1","","1","1","1","1","1","","","","","","","","","1","","","1","1","1","","","","1","","1","1","1","","","","1","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","1","1","","1","","","","","","","","1","","1","","","1","","","","","","","8"
"100706","1055","10","600","C","E","ALABAMA IN HUNTSVILLE,U","","AL","35899","2058956120","089","","HUNTSVILLE","MADISON","12","2","08","0","1","1","1","5004675","10","3","5","5","1","2","3","0","1","0","0","1","1","0","0","0","1","1","0","1","3","2","011950","011950","061963","","780","780","","789","789","975","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","8"
"102094","1057","10","630","","5","SOUTH ALABAMA,U OF","307 UNIVERSITY BOULEVARD","AL","36688","2054606101","097","","MOBILE","MOBILE","12","2","08","0","1","1","1","6007331","10","3","5","5","1","2","3","0","1","0","0","1","0","0","0","0","1","0","0","1","3","2","1963","1964","1967","","991","1122","","1017","1167","711","990","1","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","1","","1","","","1","","","","","","","8"
"102410","1058","10","640","","5","WALKER COLLEGE","","AL","35501","2053870511","127","","JASPER","WALKER","21","1","03","1","0","0","0","3000718","10","3","5","5","2","3","3","0","1","0","1","0","0","0","0","1","0","0","0","2","4","2","1938","1938","1940","1110","","","","","","330","846","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"101569","1059","10","270","","5","LAWSON STATE CMTY COLLEGE","3060 WILSON ROAD S W","AL","35221","2059251666","073","","BIRMINGHAM","JEFFERSON","12","2","03","1","0","0","0","4001112","10","3","5","1","1","3","3","0","1","0","1","0","0","0","0","1","0","0","0","1","4","2","1965","1965","1967","","300","600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"101161","1060","10","160","","5","FAULKNER STATE JR COLLEGE","HAMMOND CIRCLE","AL","36507","2059379581","003","","BAY MINETTE","BALDWIN","12","2","03","1","0","0","0","4001405","10","3","5","5","1","3","3","0","1","0","1","0","0","0","0","1","0","0","0","1","3","2","011965","091965","061966","","300","600","","","","405","990","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"102669","1061","11","20","","5","ALASKA PACIFIC UNIVERSITY","UNIVERSITY DRIVE","AK","99504","9072768181","020","","ANCHORAGE","ANCHORAGE","71","1","06","0","1","1","0","2000269","11","4","8","5","2","2","3","0","1","0","1","1","1","0","0","1","1","1","0","3","2","2","021957","101960","051961","2350","","","2350","","","1200","1400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7"
"103440","1062","11","40","","5","SHELDON JACKSON COLLEGE","BOX 479","AK","99835","9077475220","220","","SITKA","SITKA","21","4","04","0","1","1","0","1000163","11","4","8","2","2","2","3","0","1","0","1","1","0","0","0","1","1","0","0","2","1","2","1878","1944","1946","2650","","","","","","1000","1500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7"
"102614","1063","11","90","A","F","U ALASKA FAIRBANKS CAMPUS","","AK","99701","9074797112","090","","FAIRBANKS","FAIRBANKS DIVISION","12","1","08","0","1","1","1","5003489","11","4","8","5","1","1","3","1","1","0","0","1","1","0","0","0","1","1","0","1","1","2","051917","091922","061923","","572","1352","","802","1582","560","1430","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","7"
