unitid,"addr",admreq,affil,boardamt,calsys,"city",citysi,"cncesc",cnty,congdist,control,"countynm","fdgrmoyr",fice,"fwrkmoyr","gentele",geost,hloffer,iclevel,initcy,"instnm","intfic",lgrnt,obereg,oereg,pbalph,pbtfgi,pbtfgo,pbtfui,estmo,estyr,eve2yr,eve4yr,evepos,excntl,pbtfuo,period,pr2yr,prlib,procc,prprof,prtea,prtfg,prtfu,pubst,"race",roomamt,"sequen",sex,"stabbr","status",stcnty,sum2yr,sum4yr,sumpos,"system",type,updat,"zip",acc1,acc10,acc11,acc12,acc13,acc14,acc15,acc16,acc17,acc18,acc19,acc2,acc20,acc21,acc22,acc23,acc24,acc25,acc27,acc28,acc29,acc3,acc30,acc31,acc32,acc33,acc34,acc35,acc36,acc37,acc38,acc39,acc4,acc40,acc41,acc42,acc43,acc44,acc45,acc46,acc47,acc48,acc49,acc5,acc50,acc51,acc52,acc53,acc54,acc55,acc56,acc57,acc58,acc59,acc6,acc60,acc61,acc62,acc63,acc64,acc65,acc66,acc67,acc68,acc69,acc7,acc71,acc72,acc73,acc74,acc75,acc76,acc77,acc78,acc8,acc81,acc82,acc83,acc84,acc85,acc86,acc88,acc89,acc9,acc90,acc91,acc92,acc93,acc94,acc_apcp,acc_chem,acc_nurs,acc_ort,regaccrd
"101879","UNIVERSITY STATION","2","12","1072","1","FLORENCE","2","B01","77","5","1","LAUDERDALE","001875","1016","001872","2057664100","10","7","1","1","UNIV OF NORTH ALABAMA","001016","0","5","3","810","1032","1432","940","","1872","0","1","1","1","1340","7","0","1","0","1","1","0","0","10","5","824","","3","AL","5","10077","0","1","1","","2","1","35632","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","1","","","","","","","8"
"101240","GEORGE WALLACE DRIVE","2","12","870","2","GADSDEN","2","E01","55","4","1","ETOWAH","061967","1017","091965","2055460484","10","3","2","1","GADSDEN STATE JR COLLEGE","001017","0","5","3","230","0","0","460","5","1963","1","0","0","1","910","5","1","0","1","0","0","0","0","10","5","525","","3","AL","5","10055","1","0","0","","3","12","35903","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","8"
"101286","","2","12","0","2","DOTHAN","1","E01","45","2","1","DALE","001967","1018","091965","2059833521","10","3","2","1","GEO C WALLACE ST CC-DOTHN","001018","0","5","3","240","0","0","450","1","1949","1","1","0","1","900","0","1","0","1","0","0","0","0","10","5","0","","3","AL","5","10045","1","1","0","","3","1","36303","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","8"
"101435","1500 EAST FAIRVIEW","2","71","1650","1","MONTGOMERY","3","C01","101","2","2","MONTGOMERY","001856","1019","021856","2052650511","10","4","1","5","HUNTINGDON COLLEGE","001019","0","5","3","290","0","0","0","2","1854","1","1","0","3","0","7","0","1","0","0","1","0","3080","10","5","820","","3","AL","5","10101","1","1","0","","2","14","36106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","8"
"101480","NORTH TANHOM RD","2","12","930","5","JACKSONVILLE","2","B01","15","3","1","CALHOUN","001885","1020","001883","2054359820","10","7","1","1","JACKSONVILLE ST UNIV","001020","0","5","3","320","850","1125","800","","1883","0","1","1","1","1050","7","0","1","0","1","1","0","0","10","5","750","","3","AL","5","10015","0","1","1","","2","1","36265","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","8"
"101499","ALCO DRIVE","2","12","0","2","BREWTON","1","E01","53","1","1","ESCAMBIA","061967","1021","091965","2058674832","10","3","2","1","JEFFERSON DAVIS STATE JC","001021","0","5","3","330","0","0","550","","1965","1","0","0","1","1200","0","1","0","1","0","0","0","0","10","5","0","","3","AL","5","10053","1","0","0","","3","12","36427","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","8"
"101505","2601 CARSON ROAD","1","12","0","2","BIRMINGHAM","4","E01","73","6","1","JEFFERSON","061967","1022","091965","2058531200","10","3","2","1","JEFFERSON ST JR COLLEGE","001022","0","5","3","340","0","0","475","5","1963","1","0","0","1","925","0","1","0","1","0","0","0","0","10","5","0","","3","AL","5","10073","1","0","0","","3","1","35215","","","","","","","","1","","","","1","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","8"
"101541","BIBB STREET","2","75","0","1","MARION","1","C01","105","7","2","PERRY","001841","1023","001839","2056836161","10","4","1","1","JUDSON COLLEGE","001023","0","5","3","370","0","0","0","","1838","0","0","0","3","0","7","0","1","0","0","1","0","2895","10","5","2620","","2","AL","5","10105","0","1","0","","2","1","36756","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","8"
"101587","STATION TWO","2","12","1170","2","LIVINGSTON","1","B01","119","7","1","SUMTER","001885","1024","021883","2056529661","10","7","1","5","LIVINGSTON UNIVERSITY","001024","0","5","3","390","750","750","1020","","1835","0","1","1","1","1020","7","0","1","0","1","1","0","0","10","5","480","","3","AL","5","10119","1","1","1","","2","5","35470","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","8"
"1025","SOUTH CONECUH STREET","2","24","795","1","GREENVILLE","1","E01","13","2","2","BUTLER","051917","1025","091915","2053826605","10","3","2","","LOMAX-HANNON JC","","0","5","3","400","0","0","0","9","1893","1","1","0","3","0","7","1","0","0","0","0","0","1832","10","1","684","","3","AL","Y","10013","1","1","0","","3","","36037","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99"
"101648","","2","21","0","1","MARION","1","E01","105","7","2","PERRY","001846","1026","001842","2056839911","10","3","2","5","MARION MILITARY INSTITUTE","001026","0","5","3","420","0","0","0","","1842","0","0","0","2","0","7","1","0","0","0","0","0","4500","10","5","2450","","3","AL","5","10105","1","1","0","","3","5","36756","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"101675","P.O.BOX 3800","2","55","1200","1","BIRMINGHAM","4","C01","73","6","2","JEFFERSON","001911","1028","001907","2059232771","10","4","1","21","MILES COLLEGE","001028","0","5","3","430","0","0","0","","1905","1","0","0","3","0","7","0","1","0","0","1","0","3000","10","1","650","","3","AL","5","10073","1","0","0","","2","21","35208","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"101693","P O BOX 13220","2","75","1452","1","MOBILE","3","C01","97","1","2","MOBILE","001967","1029","001963","2056755990","10","6","1","1","MOBILE COLLEGE","001029","0","5","3","440","0","0","0","","1961","1","1","1","3","0","7","0","1","0","1","1","3360","3040","10","5","748","","3","AL","5","10097","1","1","1","","2","1","36613","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","8"
"102030","351 NORTH BROAD","2","12","0","2","MOBILE","3","E01","97","1","1","MOBILE","051967","1030","081965","2056906417","10","3","2","1","S. D. BISHOP ST JC","001030","0","5","3","550","0","0","450","8","1965","1","0","0","1","900","0","1","0","1","0","0","0","0","10","1","0","","3","AL","5","10097","1","0","0","","3","39","36690","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","8"
"101897","HIGHWAY 35","2","12","0","2","RAINSVILLE","1","E01","71","4","1","DE KALB","051967","1031","091965","2052286001","10","3","2","1","NTHEST ALA ST JR COLLEGE","001031","0","5","3","480","0","0","450","5","1963","1","0","0","1","900","0","1","0","1","0","0","0","0","10","5","0","","3","AL","5","10071","1","0","0","","3","1","35986","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","8"
"101903","ROUTE 3 BOX 48","2","12","0","2","PHIL CAMPBELL","1","E01","59","4","1","FRANKLIN","061965","1032","091963","2059935331","10","3","2","1","NTHWST ALA ST JR COLLEGE","001032","0","5","3","490","0","0","450","10","1961","1","0","0","1","900","0","1","0","1","0","0","0","0","10","5","0","","3","AL","5","10059","1","0","0","","3","12","35581","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","8"
"101912","OAKWOOD ROAD N W","2","95","1377","2","HUNTSVILLE","3","C01","89","5","2","MADISON","001943","1033","111917","2058371630","10","4","1","1","OAKWOOD COLLEGE","001033","0","5","3","510","0","0","0","","1896","0","0","0","3","0","7","0","1","1","0","1","0","4290","10","1","918","","3","AL","5","10089","1","1","0","","2","1","35896","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","8"
"101949","","2","12","0","2","MONROEVILLE","1","E01","99","1","1","MONROE","051967","1034","091965","2055753156","10","3","2","1","PATRICK HENRY STATE JC","001034","0","5","3","520","0","0","450","9","1965","1","0","0","1","900","0","1","0","1","0","0","0","0","10","5","0","","3","AL","5","10099","1","0","0","","3","1","36460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"102049","800 LAKESHORE DRIVE","3","75","1158","4","BIRMINGHAM","4","B01","73","6","2","JEFFERSON","001848","1036","001842","2058702011","10","7","1","1","SAMFORD UNIVERSITY","001036","0","5","3","560","0","0","0","","1841","1","1","1","3","0","7","0","1","0","1","1","3168","3164","10","5","940","","3","AL","5","10073","0","1","1","","2","1","35229","","","","","","1","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","1","","1","","","","","","","8"
"102058","1501 LAPSLEY STREET","2","54","990","1","SELMA","1","E01","47","7","2","DALLAS","001888","1037","001884","2058722533","10","4","1","99","SELMA UNIVERSITY","001037","0","5","3","570","0","0","0","","1878","1","1","0","3","0","7","0","1","0","1","0","0","1365","10","1","630","","3","AL","5","10047","1","1","0","","2","99","36701","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99"
"102076","WALNUT STREET","2","12","954","2","BOAZ","3","E01","95","4","1","MARSHALL","061937","1038","091935","2055935120","10","3","2","5","SNEAD STATE JR COLLEGE","001038","0","5","3","590","0","0","450","","1898","1","0","0","1","900","5","1","0","1","0","0","0","0","10","5","450","","3","AL","5","10095","1","0","0","","3","5","35957","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"102261","2901 PAWNEE AVENUE","2","21","1500","1","BIRMINGHAM","4","D01","73","6","2","JEFFERSON","051948","1039","091940","2052512311","10","6","1","1","STHESTN BIBLE COLLEGE","001039","0","5","3","600","0","0","0","5","1935","1","1","0","2","0","7","0","1","0","1","1","600","2560","10","5","425","","3","AL","5","10073","1","1","1","","2","1","35256","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"251260","ROBERTAS ST.","2","12","900","2","WADLEY","1","E01","111","3","1","RANDOLPH","061925","1040","091923","2053952211","10","3","2","1","STHN UNION ST JR COLLEGE","001040","0","5","3","620","0","0","450","6","1922","1","0","0","1","900","5","1","0","1","0","0","0","0","10","5","570","","3","AL","5","10111","1","0","0","","3","12","36276","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","8"
"102234","4000 DAUPHIN STREET","2","30","1540","1","MOBILE","3","C01","97","1","2","MOBILE","061831","1041","091830","2054602121","10","6","1","1","SPRING HILL COLLEGE","001041","0","5","3","640","0","0","0","9","1830","0","1","1","3","0","7","0","1","0","0","1","0","5370","10","5","1400","","3","AL","5","10097","0","1","1","","2","1","36608","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"102270","P O DRAWER 1430","2","66","1040","1","TUSCALOOSA","2","C01","125","7","2","TUSCALOOSA","001878","1044","001876","2053494240","10","4","1","1","STILLMAN COLLEGE","001044","0","5","3","650","0","0","0","","1876","0","1","0","3","0","7","0","1","0","0","1","0","2400","10","1","890","","3","AL","5","10125","0","1","0","","2","1","35403","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"102298","627 W BATTLE STREET","2","21","1040","1","TALLADEGA","1","C01","121","3","2","TALLADEGA","001895","1046","001890","2053620206","10","4","1","10","TALLADEGA COLLEGE","001046","0","5","3","660","0","0","0","","1867","0","0","0","2","0","7","0","1","0","0","1","0","2969","10","1","990","","3","AL","5","10121","0","1","0","","2","10","35160","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","8"
"102368","UNIVERSITY AVENUE","3","12","1082","2","TROY","1","B01","109","2","1","PIKE","061891","1047","021887","2055663000","10","7","1","1","TROY STATE UNIV MAIN CAM","001047","0","5","3","700","990","1260","1035","2","1887","1","1","1","1","1530","7","0","1","0","1","1","0","0","10","5","650","01","3","AL","6","10109","1","1","1","B","2","1","36082","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","8"
"102322","227 NORTH FOSTER STREET","3","12","0","2","DOTHAN","1","B01","69","2","1","HOUSTON","061967","1048","091965","2057931445","10","7","1","1","TROY ST U DOTHN-FT RUCKER","001048","0","5","3","710","960","1020","930","9","1965","0","1","1","1","948","0","0","1","0","1","1","0","0","10","5","0","02","3","AL","7","10069","0","1","1","B","2","20","36301","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"102359","231 MONTGOMERY STREET","3","12","0","2","MONTGOMERY","3","B01","101","2","1","MONTGOMERY","061968","1049","091966","2058341400","10","7","1","1","TROY STATE U MONTGOMERY","001049","0","5","3","720","1053","1053","1110","9","1966","1","1","1","1","1110","0","0","1","0","1","1","0","0","10","5","0","03","3","AL","7","10101","1","1","1","B","2","1","36104","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","8"
"102377","","2","21","900","1","TUSKEGEE INST","1","B02","87","3","2","MACON","051925","1050","091923","2057278011","10","6","1","1","TUSKEGEE INSTITUTE","001050","0","5","3","730","0","0","0","2","1881","0","0","0","2","0","7","0","1","0","1","1","3500","3500","10","1","1000","","3","AL","5","10087","0","1","1","","2","1","36088","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","1","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","","","","1","","","","","","","","","","","1","","","","","","","8"
"100751","","6","12","1260","1","UNIVERSITY","2","A01","125","7","1","TUSCALOOSA","001832","1051","001831","2053486010","10","8","1","6","THE UNIV OF ALABAMA","001051","2","5","3","770","1206","2586","1206","","1831","0","1","1","1","2586","7","0","1","0","1","1","0","0","10","5","950","02","3","AL","E","10125","0","1","1","C","1","6","35486","1","1","","","","","1","","","","","1","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","1","","","","","","","1","","","","","","1","1","","","","","","1","","","1","","1","","","1","","","","","","","8"
"100663","UNIVERSITY STATION","2","12","0","2","BIRMINGHAM","4","A02","73","6","1","JEFFERSON","061970","1052","091966","2059344011","10","8","1","6","U ALABAMA AT BIRMINGHAM","001052","2","5","3","780","1570","3030","1476","9","1966","1","1","1","1","2862","0","0","1","1","1","1","0","0","10","5","0","03","3","AL","E","10073","1","1","1","C","2","6","35294","1","1","","","","1","","","","","1","","1","1","1","","1","","1","1","","","","1","","1","1","","1","1","1","1","","","1","","1","1","","1","1","","1","","1","","","1","1","","","","1","","","","","","","","","","","","","","","","","","1","1","","1","","","","","","","","1","","1","","","1","","","","","","","8"
"100706","124 UNIVERSITY CENTER","2","12","0","2","HUNTSVILLE","3","B01","89","5","1","MADISON","061964","1055","011950","2058956120","10","8","1","10","U ALABAMA IN HUNTSVILLE","001055","0","5","3","790","1378","2756","1107","1","1950","0","1","1","1","2970","0","0","1","0","1","1","0","0","10","5","1095","04","3","AL","E","10089","0","1","1","C","2","10","35899","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","8"
"102094","307 UNIVERSITY BOULEVARD","3","12","1125","2","MOBILE","3","B02","97","1","1","MOBILE","001967","1057","001964","2054606101","10","8","1","1","U OF SOUTH ALABAMA","001057","0","5","3","820","1365","1965","1485","","1963","0","1","1","1","2085","7","0","1","1","1","1","0","0","10","5","900","","3","AL","5","10097","0","1","1","","2","1","36688","1","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","1","","","","","","1","1","","","","","","","","","","1","","","","","","","","","","1","1","","","","","","","","","","","","","","","1","","","","","1","","","1","","1","","","1","","","","","","","8"
"102410","","2","21","1050","1","JASPER","4","E01","127","4","2","WALKER","001940","1058","001938","2053870511","10","3","2","1","WALKER COLLEGE","001058","0","5","3","830","0","0","0","","1938","1","0","0","2","0","5","1","0","0","0","0","0","1296","10","5","500","","3","AL","5","10127","1","0","0","","3","1","35501","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","8"
"101569","3060 WILSON ROAD S W","2","12","0","2","BIRMINGHAM","4","E01","73","6","1","JEFFERSON","001967","1059","001965","2059251666","10","3","2","99","LAWSON STATE CMTY COLLEGE","001059","0","5","3","380","0","0","457","","1965","1","0","0","1","907","0","1","0","1","0","0","0","0","10","1","0","","3","AL","5","10073","1","0","0","","3","99","35221","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
"101161","HAMMOND CIRCLE","2","12","1050","2","BAY MINETTE","3","E01","3","1","1","BALDWIN","061966","1060","091965","2059379581","10","3","2","1","JAMES H. FAULKNER ST JC","001060","0","5","3","325","0","0","454","6","1965","1","0","0","1","904","5","1","0","1","0","0","0","0","10","5","615","","3","AL","5","10003","1","0","0","","3","12","36507","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8"
