UNITID,INSTNM,ADDR,CITY,STABBR,ZIP,FIPS,OBEREG,CHFNM,CHFTITLE,GENTELE,EIN,OPEID,OPEFLAG,WEBADDR,ADMINURL,FAIDURL,APPLURL,SECTOR,ICLEVEL,CONTROL,HLOFFER,UGOFFER,GROFFER,HDEGOFR1,DEGGRANT,HBCU,HOSPITAL,MEDICAL,TRIBAL,LOCALE,OPENPUBL,ACT,NEWID,DEATHYR,CLOSEDAT,CYACTIVE,POSTSEC,PSEFLAG,PSET4FLG,RPTMTH,IALIAS,INSTCAT,CCBASIC,CCIPUG,CCIPGRAD,CCUGPROF,CCENRPRF,CCSIZSET,CARNEGIE,TENURSYS,LANDGRNT,INSTSIZE,CBSA,CBSATYPE,CSA,NECTA,F1SYSTYP,F1SYSNAM,FAXTELE,COUNTYCD,COUNTYNM,CNGDSTCD,LONGITUD,LATITUDE,DFRCGID 
100830,"Auburn University at Montgomery","7440 East Drive","Montgomery","AL","36117-3596", 1, 5,"John G. Veres III","Chancellor","3342443000","636000724","00831000",1,"www.aum.edu","www.aum.edu/indexm_ektid954.aspx","www.aum.edu/indexm_ektid2234.aspx","https://senator.aum.edu/prod/bwskalog.P_DispLoginNon",1,1,1,8,1,1,20,1,2,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1,"AUM|Auburn University Montgomery|Auburn University at Montgomery|Auburn Montgomery",2,18,13,6,8,4,12,21,1,2,3,33860,1,388,-2,1,"Auburn University","3342443920",1101,"Montgomery County",103,-86.177710,32.368390,161
100858,"Auburn University","Auburn, Alabama","Auburn University","AL","36849", 1, 5,"Jay Gogue","President","3348444000","636000724","00100900",1,"www.auburn.edu","www.auburn.edu/admissions/","www.auburn.edu/administration/business_office/finaid/","www.auburn.edu/admissions/apply/",1,1,1,9,1,1,11,1,2,2,1,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,16,14,14,13,4,15,15,1,1,5,12220,1,194,-2,1,"Auburn University"," ",1081,"Lee County",103,-85.486107,32.603383,151
100937,"Birmingham Southern College","900 Arkadelphia Road","Birmingham","AL","35254", 1, 5,"Dr. Mark S. Schantz","Interim President","2052264600","630708730","00101200",1,"www.bsc.edu","www.gotobsc.com/","www.gotobsc.com/fa/","www.gotobsc.com/apply.htm",2,1,2,7,1,1,20,1,2,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,21,7,2,12,3,11,31,1,2,2,13820,1,142,-2,2,"-2","2052263074",1073,"Jefferson County",107,-86.850359,33.517202,184
101028,"Chattahoochee Valley Community College","2602 College Drive","Phenix City","AL","36869", 1, 5,"Dr. Laurel Blackwell","President","3342914900","630657380","01218200",1,"www.cv.edu","www.cv.edu/index.php?option=com_wrapper&Itemid=175","www.cv.edu/component/option,com_wrapper/Itemid,177/","www.cv.edu/documents/admissions/admission_app.pdf",4,2,1,3,1,2,40,1,2,2,2,2,22,1,"A ",-2,-2,"-2",1,1,1,1,1,"CVCC",4,2,1,-1,2,1,2,40,1,2,2,17980,1,194,-2,1,"Alabama College System"," ",1113,"Russell County",103,-85.028995,32.428862,103
101073,"Concordia College-Selma","1804 Green St","Selma","AL","36701", 1, 5,"Dr. Tilahun Mendedo","President","3345269141","630389941","01055400",1,"www.concordiaselma.edu","www.concordiaselma.edu"," "," ",2,1,2,5,1,2,30,1,1,2,2,2,33,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,22,15,-1,9,2,8,33,2,2,1,42820,2,-2,-2,2,"-2","3348745755",1047,"Dallas County",107,-87.017700,32.425400,196
101116,"South University-Montgomery","5355 Vaughn Road","Montgomery","AL","36116-1120", 1, 5,"Victor K Biebighauser","President","3343958800","630314610","01303906",1,"southuniversity.edu","southuniversity.edu","southuniversity.edu","southuniversity.edu",3,1,3,7,1,1,20,1,2,-2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1," ",3,23,2,11,5,3,6,40,2,2,1,33860,1,388,-2,1,"Education Management Corporation","3343958859",1101,"Montgomery County",102,-86.217741,32.342503,202
101143,"Enterprise State Community College","600 Plaza Drive","Enterprise","AL","36330-1300", 1, 5,"Nancy Chandler, Ed.D.","President","3343472623","630504851","00101500",1,"www.escc.edu","www.escc.edu/adminoffices/admissions.htm","www.escc.edu/adminoffices/finaid.htm","https://grace.escc.edu/cgi-bin/ADMONLINE.MBR/LOGIN",4,2,1,3,1,2,40,1,2,2,2,2,32,1,"A ",-2,-2,"-2",1,1,1,1,1,"Enterprise-Ozark Community College (Former Name) |Enterprise State Junior College (Former Name)",4,2,1,-1,3,1,3,40,1,2,2,21460,2,222,-2,1,"Alabama College System","3343936223",1031,"Coffee County",102,-85.835009,31.299651,99
101161,"James H Faulkner State Community College","1900 US Hwy 31 S","Bay Minette","AL","36507-2698", 1, 5,"Gary Branch","President","2515802100","630501805","00106000",1,"www.faulknerstate.edu"," "," "," ",4,2,1,3,1,2,40,1,2,2,2,2,32,1,"A ",-2,-2,"-2",1,1,1,1,1," ",4,5,1,-1,3,1,3,40,1,2,2,19300,2,380,-2,1,"Alabama College System","2515802253",1003,"Baldwin County",101,-87.776669,30.852589,99
101189,"Faulkner University","5345 Atlanta Hwy","Montgomery","AL","36109-3378", 1, 5,"Billy D Hilyer","President","3342725820","630329409","00100300",1,"www.faulkner.edu","www.faulkner.edu/admissions/","www.faulkner.edu/services/finaid.asp","www.faulkner.edu/admissions/undergraduate/application/apply.asp",2,1,2,9,1,1,13,1,2,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1,"Faulkner",2,22,16,8,7,4,9,32,1,2,2,33860,1,388,-2,2,"-2","3343867244",1101,"Montgomery County",102,-86.216358,32.381918,190
101240,"Gadsden State Community College","1001 George Wallace Dr","Gadsden","AL","35903", 1, 5,"Dr. W. Darryl Harrison","President","2565498200","630501425","00101700",1,"www.gadsdenstate.edu","www.gadsdenstate.edu/faculty-and-staff/admissions.php","www.gadsdenstate.edu/current-students/financial-aid.php","https://osis.gadsdenstate.edu/Scripts/WebEncore.dll?Application\Index.html",4,2,1,3,1,2,40,1,1,2,2,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1,"GSCC | Gadsden State | Gadsden Community College",4,3,1,-1,3,1,4,40,1,2,3,23460,1,-2,-2,1,"Alabama College System","2564396812",1055,"Etowah County",104,-85.989970,33.994979,97
101286,"George C Wallace State Community College-Dothan","1141 Wallace Drive","Dothan","AL","36303-9234", 1, 5,"Linda C Young","President","3349833521","630507618","00101800",1,"www.wallace.edu","www.wallace.edu/enrollment/admissions/","www.wallace.edu/enrollment/financial_aid.htm","www.wallace.edu/enrollment/records/forms/admissionsapplication.pdf",4,2,1,3,1,2,40,1,2,2,2,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1,"WALLACE DOTHAN|WCCD",4,2,1,-1,2,1,3,40,1,2,2,21460,2,222,-2,1,"Alabama College System","3346870255",1045,"Dale County",102,-85.467960,31.315920,97
101295,"George C Wallace State Community College-Hanceville","801 Main St NW","Hanceville","AL","35077-2000", 1, 5,"Vicki Hawsey","President","2563528000","630498828","00787100",1,"www.wallacestate.edu","www.wallacestate.edu/admissions.html","www.wallacestate.edu/financial-aid.html","www.wallacestate.edu/admission-application.html",4,2,1,3,1,2,40,1,2,2,2,2,41,1,"A ",-2,-2,"-2",1,1,1,1,1,"Wallace State Community College |Wallace State - Hanceville",4,2,1,-1,2,1,3,40,1,2,3,18980,2,142,-2,1,"Alabama College System","2563528228",1043,"Cullman County",104,-86.778259,34.072755,100
101301,"George C Wallace State Community College-Selma","3000 Earl Goodwin Parkway","Selma","AL","36703-2808", 1, 5,"Dr. James M. Mitchell","President","3348769227","630600375","00569900",1,"www.wccs.edu","www.wccs.edu","www.wccs.edu","www.wccs.edu",4,2,1,3,1,2,40,1,2,2,2,2,41,1,"A ",-2,-2,"-2",1,1,1,1,1,"Wallace Community College - Selma",4,2,1,-1,3,1,2,40,1,2,2,42820,2,-2,-2,1,"Alabama College System","3348769300",1047,"Dallas County",107,-87.014531,32.444291,101
101365,"Herzing University-Birmingham","280 West Valley Ave","Birmingham","AL","35209", 1, 5,"Donald E Lewis","President","2059162800","391040865","00962107",1,"www.herzing.edu/birmingham","www.herzing.edu/birmingham","www.herzing.edu/birmingham","www.herzing.edu/birmingham",3,1,3,5,1,2,30,1,2,-2,2,2,21,1,"A ",-2,-2,"-2",1,1,1,1,1," ",3,22,15,-1,5,2,6,40,2,2,1,13820,1,142,-2,1,"Herzing Inc","2059162807",1073,"Jefferson County",107,-86.832344,33.468136,233
101435,"Huntingdon College","1500 East Fairview Avenue","Montgomery","AL","36106-2148", 1, 5,"J. Cameron West","President","3348334222","630288841","00101900",1,"www.huntingdon.edu","www.huntingdon.edu/futureStudentsMain.aspx?id=1582","www.huntingdon.edu/futureStudents.aspx?id=1702","www.huntingdon.edu/futureStudentForm.aspx?ekfrm=4062",2,1,2,5,1,2,30,1,2,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,22,9,-1,11,2,7,31,1,2,2,33860,1,388,-2,2,"-2","3348334347",1101,"Montgomery County",102,-86.285285,32.352002,194
101453,"Heritage Christian University","3625 Helton Dr","Florence","AL","35630-9977", 1, 5,"Dennis Jones","President","2567666610","237013287","02199700",1,"www.hcu.edu","www.hcu.edu/admissions","www.hcu.edu/financialaid","www.hcu.edu/admissions/applynow",2,1,2,7,1,1,20,1,2,2,2,2,41,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,24,-2,-2,-2,5,-2,51,2,2,1,22520,1,-2,-2,2,"-2","2567600981",1077,"Lauderdale County",105,-87.660709,34.860679,206
101462,"J F Drake State Technical College","3421 Meridian St N","Huntsville","AL","35811", 1, 5,"Helen T. McAlpine","President","2565398161","631002142","00526000",1,"www.drakestate.edu","www.drakestate.edu","www.drakestate.edu","www.drakestate.edu",4,2,1,3,1,2,40,1,1,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1," ",4,1,1,-1,2,1,2,40,1,2,2,26620,1,290,-2,1,"Alabama College System","2565513142",1089,"Madison County",105,-86.572561,34.771174,102
101471,"J F Ingram State Technical College","5375 Ingram Rd","Deatsville","AL","36022", 1, 5,"J. Douglas Chambers","President","3342855177349","630506768","03002500",5,"www.ingram.cc.al.us"," "," "," ",4,2,1,3,1,2,40,1,2,2,2,2,41,0,"A ",-2,-2,"-2",1,1,2,6,1," ",4,1,1,-1,3,1,2,40,1,2,1,33860,1,388,-2,1,"Alabama College System"," ",1051,"Elmore County",102,-86.381859,32.576179,237
101480,"Jacksonville State University","700 Pelham Road North","Jacksonville","AL","36265", 1, 5,"William Meehan","President","2567825781","636001099","00102000",1,"www.jsu.edu/"," "," "," ",1,1,1,8,1,1,20,1,2,2,2,2,23,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,18,13,4,6,3,12,21,1,2,3,11500,1,-2,-2,2,"-2","2567828146",1015,"Calhoun County",103,-85.763653,33.824096,159
101499,"Jefferson Davis Community College","220 Alco Dr","Brewton","AL","36426", 1, 5,"Dr. Susan McBride","President","2518674832","630502384","00102100",1,"www.jdcc.edu","www.jdcc.edu/admissions/","www.jdcc.edu/finaid/","www.jdcc.edu/applyonline/",4,2,1,3,1,2,40,1,2,2,2,2,32,1,"A ",-2,-2,"-2",1,1,1,1,1,"JDCC",4,1,1,-1,2,1,2,40,1,2,2,-2,-2,-2,-2,1,"Alabama College System","2518091527",1053,"Escambia County",101,-87.084230,31.101990,104
101505,"Jefferson State Community College","2601 Carson Rd","Birmingham","AL","35215-3098", 1, 5,"Judy Merritt","President","2058531200","630501357","00102200",1,"www.jeffstateonline.com"," "," "," ",4,2,1,3,1,2,40,1,2,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1,"Jeff State | JSCC | Jefferson State",4,7,1,-1,1,1,4,40,1,2,3,13820,1,142,-2,1,"Alabama College System","2058158499",1073,"Jefferson County",107,-86.709463,33.651085,96
101514,"John C Calhoun State Community College","6250 U S Highway 31 N","Tanner","AL","35671", 1, 5,"Dr. Marilyn C. Beck","President","2563062500","630505871","00101300",1,"www.calhoun.edu","www.calhoun.edu/admissions.htm","www.calhoun.edu/financialaid/","www.calhoun.edu/applyonline/",4,2,1,3,1,2,40,1,2,2,2,2,41,1,"A ",-2,-2,"-2",1,1,1,1,1,"Calhoun Community College",4,3,1,-1,2,1,4,40,1,2,4,26620,1,290,-2,1,"Alabama College System","2563062877",1083,"Limestone County",105,-86.949080,34.647710,96
101541,"Judson College","302 Bibb St","Marion","AL","36756", 1, 5,"David E Potts","President","3346835100","630288850","00102300",1,"www.judson.edu","www.judson.edu","www.judson.edu","www.judson.edu",2,1,2,5,1,2,30,1,2,2,2,2,43,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,21,3,-1,8,2,7,31,1,2,1,-2,-2,-2,-2,2,"-2","3346835147",1105,"Perry County",107,-87.316603,32.629662,187
101569,"Lawson State Community College-Birmingham Campus","3060 Wilson Rd SW","Birmingham","AL","35221-1717", 1, 5,"Perry W Ward","President","2059252515","630641064","00105900",1,"www.lawsonstate.edu"," "," "," ",4,2,1,3,1,2,40,1,1,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1," ",4,7,1,-1,2,1,3,40,1,2,2,13820,1,142,-2,1,"Alabama College System","2059231649",1073,"Jefferson County",107,-86.888372,33.449443,97
101587,"University of West Alabama","Station One","Livingston","AL","35470", 1, 5,"Dr. Richard Holland","President","2056523400","636001100","00102400",1,"www.uwa.edu","admissions.uwa.edu/","admissions.uwa.edu/FinancialAid.asp"," ",1,1,1,7,1,1,20,1,2,2,2,2,43,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,18,10,1,8,5,13,21,1,2,3,-2,-2,-2,-2,2,"-2","2056523708",1119,"Sumter County",107,-88.187250,32.584300,161
101602,"Lurleen B Wallace Community College","1000 Dannelly Blvd.","Andalusia","AL","36420-1418", 1, 5,"Herbert H. J. Riedel, Ph.D.","President","3342226591","630576487","00898800",1,"www.lbwcc.edu","www.lbwcc.edu/cms/page.aspx?pageid=196","www.lbwcc.edu/cms/page.aspx?pageid=197"," ",4,2,1,3,1,2,40,1,2,2,2,2,41,1,"A ",-2,-2,"-2",1,1,1,1,1,"LBW Community College |LBWCC |LBW",4,1,1,-1,3,1,2,40,1,2,2,-2,-2,-2,-2,1,"Alabama College System","3348812300",1039,"Covington County",102,-86.451742,31.321861,105
101648,"Marion Military Institute","1101 Washington St","Marion","AL","36756", 1, 5,"Col David J. Mollahan","President","8006641842","630288853","00102600",1,"www.marionmilitary.edu","marionmilitary.edu/admissions/index.da","marionmilitary.edu/admissions/admissions-financial.da","marionmilitary.edu/admissions/admissions-apply.da",4,2,1,3,1,2,40,1,2,2,2,2,43,1,"A ",-2,-2,"-2",1,1,1,1,1," ",4,1,1,-1,4,1,1,40,1,2,1,-2,-2,-2,-2,1,"Alabama College System","3346832383",1105,"Perry County",107,-87.318077,32.622556,105
101675,"Miles College","5500 Myron Massey Blvd","Fairfield","AL","35064-2621", 1, 5,"George T. French, Jr.","President","20592910001645","630400608","00102800",1,"www.miles.edu","miles.edu","miles.edu","miles.edu",2,1,2,5,1,2,30,1,1,2,2,2,21,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,22,15,-1,9,2,10,32,1,2,2,13820,1,142,-2,2,"-2","2059291426",1073,"Jefferson County",107,-86.907180,33.480720,191
101693,"University of Mobile","5735 College Parkway Drive","Mobile","AL","36613-2842", 1, 5,"Mark Foley","President","2516755990","630417508","00102900",1,"www.umobile.edu","www.umobile.edu/admissions/","www.umobile.edu/financialaid/","www.umobile.edu/Admissions/Undergraduate/ApplyNow.aspx",2,1,2,7,1,1,20,1,2,2,2,2,41,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,22,10,6,11,3,10,21,1,2,2,33660,1,380,-2,2,"-2","2514422523",1097,"Mobile County",101,-88.128739,30.793454,192
101709,"University of Montevallo","Station 6001","Montevallo","AL","35115-6000", 1, 5,"John W. Stewart III","President","2056656155","636000720","00100400",1,"www.montevallo.edu","www.montevallo.edu/admissions/","www.montevallo.edu/finaid/","www.montevallo.edu/admissions/ApplicationProcess/",1,1,1,8,1,1,20,1,2,2,2,2,31,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,19,10,6,10,4,10,21,1,2,2,13820,1,142,-2,2,"-2","2056656032",1117,"Shelby County",106,-86.864730,33.104420,171
101736,"Northwest Shoals Community College-Muscle Shoals","800 George Wallace Blvd","Muscle Shoals","AL","35661", 1, 5,"Humphrey Lee","President","2563315200","630513822","00569700",1,"www.nwscc.edu","www.nwscc.edu/contactus.html","www.nwscc.edu/financialaid/financialaid.html","www.nwscc.edu/contactus.html",4,2,1,3,1,2,40,1,2,2,2,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1," ",4,2,1,-1,2,1,3,40,1,2,2,22520,1,-2,-2,1,"Alabama College System","2563315222",1033,"Colbert County",105,-87.678939,34.730351,97
101879,"University of North Alabama","One Harrison Plaza","Florence","AL","35632-0001", 1, 5,"Wm. G. Cale, Jr.","President","2567654100","636000893","00101600",1,"www.una.edu","www.una.edu/admission","www.una.edu/sfins","https://www.applyweb.com/aw?una",1,1,1,8,1,1,20,1,2,2,2,2,13,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,18,13,7,11,4,12,21,1,2,3,22520,1,-2,-2,2,"-2","2567654960",1077,"Lauderdale County",105,-87.679760,34.807200,160
101897,"Northeast Alabama Community College","138  Highway 35","Rainsville","AL","35986", 1, 5,"J. David Campbell","President","2056384418234","630504999","00103100",1,"www.nacc.edu","www.nacc.edu","www.nacc.edu","www.nacc.edu",4,2,1,4,1,2,40,1,2,2,2,2,42,1,"A ",-2,-2,"-2",1,1,1,1,1,"Northeast, NACC, Northeast Alabama State Junior College, Northeast Alabama State Community College",4,2,1,-1,2,1,3,40,1,2,2,22840,2,-2,-2,1,"Alabama College System","2562286861",1049,"DeKalb County",104,-85.849296,34.495048,100
101912,"Oakwood University","7000 Adventist Blvd NW","Huntsville","AL","35896", 1, 5,"Mervyn A. Warren","Interim President","2567267000","-1","00103300",1,"www.oakwood.edu","www.oakwood.edu/admissions","www.oakwood.edu/services/financial-aid","https://my.oakwood.edu/ics/Admissions/Admissions_Homepage.jnz?portlet=Apply_For_Admissions",2,1,2,7,1,1,20,1,1,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,22,9,-1,9,3,11,32,1,2,2,26620,1,290,-2,2,"-2"," ",1089,"Madison County",105,-86.661596,34.756663,191
101949,"Alabama Southern Community College","2800 South Alabama Avenue","Monroeville","AL","36460", 1, 5,"Reginald Sykes","President","25157531568252","630503016","00103400",1,"www.ascc.edu"," "," "," ",4,2,1,3,1,2,40,1,2,2,2,2,41,1,"A ",-2,-2,"-2",1,1,1,1,1," ",4,1,1,-1,3,1,2,40,1,2,2,-2,-2,-2,-2,1,"Alabama College System","2515755356",1099,"Monroe County",101,-87.323941,31.488970,105
101958,"Prince Institute of Professional Studies Inc","7735 Atlanta Hwy","Montgomery","AL","36117", 1, 5,"Patricia L. Hill","Director","3342711670203","630710076","02296000",1,"princeinstitute.edu"," "," "," ",6,2,3,3,1,2,40,1,2,-2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1," ",4,10,1,-1,4,1,1,40,2,2,1,33860,1,388,-2,1,"Stenograph LLC","3342711671",1101,"Montgomery County",103,-86.161564,32.382010,133
101994,"Reid State Technical College","I65 and Hwy 83","Evergreen","AL","36401", 1, 5,"Dr Douglas M Littles","President","2515781313","630510731","00569200",1,"www.rstc.cc.al.us","www.rstc.edu","www.rstc.edu","www.rstc.edu",4,2,1,3,1,2,40,1,2,2,2,2,43,1,"A ",-2,-2,"-2",1,1,1,1,1," ",4,1,1,-1,3,1,2,40,1,2,1,-2,-2,-2,-2,1,"Alabama College System","2515784824",1035,"Conecuh County",102,-86.965527,31.457640,105
102030,"Bishop State Community College","351 North Broad Street","Mobile","AL","36603-5898", 1, 5,"James Lowe","President","2514057000","630507477","00103000",1,"www.bishop.edu","www.bishop.edu/admissions.html","www.bishop.edu/finaid.html","www.bishop.edu/admissions.html",4,2,1,3,1,2,40,1,1,2,2,2,12,1,"A ",-2,-2,"-2",1,1,1,1,1," ",4,7,1,-1,2,1,3,40,1,2,2,33660,1,380,-2,1,"Alabama College System","2514389523",1097,"Mobile County",101,-88.056355,30.694054,97
102049,"Samford University","800 Lakeshore Drive","Birmingham","AL","35229-2240", 1, 5,"Andrew Westmoreland","President","2057262011","630312914","00103600",1,"www.samford.edu","www.samford.edu/admission/","www.samford.edu/admin/finaid/","www.samford.edu/admission/apply.html",2,1,2,9,1,1,11,1,2,2,2,2,21,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,19,10,12,10,5,14,21,1,2,2,13820,1,142,-2,2,"-2","2057262738",1073,"Jefferson County",106,-86.790142,33.463236,172
102058,"Selma University","1501 Lapsley St, Dinkins Hall","Selma","AL","36701", 1, 5,"Dr. Alvin A. Cleveland, Sr.","President","3348722533","630367461","04067300",1,"selmauniversity.org"," "," "," ",2,1,2,7,1,1,20,1,1,2,2,2,33,1,"A ",-2,-2,"-2",1,1,1,1,1," ",2,24,-2,-2,-2,5,-2,-3,2,2,1,42820,2,-2,-2,2,"-2"," ",1047,"Dallas County",107,-87.031607,32.419785,205
